date;xmr_open;xmr_high;xmr_low;xmr_close;xmr_adj_close;xmr_volume;eth_open;eth_high;eth_low;eth_close;eth_adj_close;eth_volume;btc_open;btc_high;btc_low;btc_close;btc_adj_close;btc_volume
2022.04.27;229.493774;235.707657;221.982269;229.514252;229.514252;235574090;2808.645996;2911.877441;2802.273438;2888.929688;2888.929688;17419284041;38120.300781;39397.917969;37997.312500;39241.121094;39241.121094;30981015184
2022.04.28;229.500534;237.476547;224.074722;226.974197;226.974197;203035795;2888.849854;2973.135010;2861.821533;2936.940918;2936.940918;18443524633;39241.429688;40269.464844;38941.421875;39773.828125;39773.828125;33903704907
2022.04.29;226.961227;235.024796;217.514557;220.687973;220.687973;228539213;2936.776611;2943.445801;2782.435303;2815.601807;2815.601807;18771041399;39768.617188;39887.269531;38235.535156;38609.824219;38609.824219;30882994649
2022.04.30;220.700958;233.251205;213.535889;214.662567;214.662567;233614573;2815.533447;2836.827637;2727.406250;2730.186768;2730.186768;13520941867;38605.859375;38771.210938;37697.941406;37714.875000;37714.875000;23895713731
2022.05.01;214.691223;227.330734;209.010468;212.669113;212.669113;211597053;2729.994141;2838.704346;2728.078857;2827.756104;2827.756104;15332730152;37713.265625;38627.859375;37585.789063;38469.093750;38469.093750;27002760110
2022.05.02;212.636810;216.082428;196.676086;198.667160;198.667160;234496868;2827.614014;2874.145996;2785.522949;2857.410400;2857.410400;18609741545;38472.187500;39074.972656;38156.562500;38529.328125;38529.328125;32922642426
2022.05.03;198.684174;215.341934;198.684174;207.541031;207.541031;212084119;2857.152344;2859.193359;2762.118652;2783.476318;2783.476318;13026093219;38528.109375;38629.996094;37585.621094;37750.453125;37750.453125;27326943244
2022.05.04;207.482544;225.181686;206.698975;225.181686;225.181686;218881517;2783.131104;2956.686768;2779.273682;2940.644775;2940.644775;18186749944;37748.011719;39902.949219;37732.058594;39698.371094;39698.371094;36754404490
2022.05.05;225.160339;229.323273;198.622787;206.622375;206.622375;228652275;2940.226563;2948.960693;2704.916260;2749.213135;2749.213135;22642925048;39695.746094;39789.281250;35856.515625;36575.140625;36575.140625;43106256317
2022.05.06;206.636337;217.415878;201.166534;217.005737;217.005737;204120727;2748.931641;2754.837646;2645.335205;2694.979736;2694.979736;21027599270;36573.183594;36624.359375;35482.132813;36040.921875;36040.921875;37795577489
2022.05.07;217.254608;222.909775;199.941422;204.203751;204.203751;215690316;2694.991943;2696.652832;2599.523438;2636.093018;2636.093018;13369276367;36042.503906;36129.925781;34940.824219;35501.953125;35501.953125;24375896406
2022.05.08;204.273178;221.631149;200.368240;217.238922;217.238922;278903350;2636.121826;2638.830566;2498.430176;2517.459961;2517.459961;20802269935;35502.941406;35502.941406;33878.964844;34059.265625;34059.265625;36763041910
2022.05.09;217.215134;220.556915;175.351425;175.351425;175.351425;275353337;2518.508301;2528.258057;2238.062744;2245.430420;2245.430420;36333567678;34060.015625;34222.074219;30296.953125;30296.953125;30296.953125;63355494961
2022.05.10;174.994095;189.106766;152.972839;162.956924;162.956924;300591532;2242.650391;2450.760254;2206.756836;2343.510986;2343.510986;38202099639;30273.654297;32596.308594;29944.802734;31022.906250;31022.906250;59811038817
2022.05.11;162.905640;171.270233;138.463989;138.746155;138.746155;330581689;2342.754150;2441.079346;2018.855591;2072.108643;2072.108643;45743399154;31016.183594;32013.402344;28170.414063;28936.355469;28936.355469;70388855818
2022.05.12;139.051956;154.589203;119.303459;137.885956;137.885956;316908184;2072.504639;2170.458008;1748.303101;1961.701538;1961.701538;42463486402;28936.734375;30032.439453;26350.490234;29047.751953;29047.751953;66989173272
2022.05.13;137.776550;154.987610;135.455170;143.945068;143.945068;179098418;1960.122559;2139.713379;1941.975952;2014.418213;2014.418213;24816096567;29030.910156;30924.802734;28782.330078;29283.103516;29283.103516;42841124537
2022.05.14;143.962677;154.597076;136.682800;154.370529;154.370529;158306034;2014.280640;2063.429932;1956.572998;2056.273926;2056.273926;15457044616;29285.642578;30192.802734;28702.910156;30101.265625;30101.265625;28579868620
2022.05.15;154.126633;172.486298;151.070724;171.679382;171.679382;190261455;2056.183105;2147.194336;2008.162720;2145.706787;2145.706787;14846088335;30098.585938;31308.191406;29527.740234;31305.113281;31305.113281;25835372065
2022.05.16;171.670349;174.615631;160.243515;162.225998;162.225998;187969094;2145.836914;2145.836914;1988.811768;2022.725952;2022.725952;21459552191;31304.375000;31305.341797;29251.884766;29862.917969;29862.917969;32613897286
2022.05.17;162.258835;177.201874;162.216110;172.868347;172.868347;172030064;2022.882324;2113.059814;2015.971558;2090.409180;2090.409180;18509929297;29862.408203;30694.490234;29570.302734;30425.857422;30425.857422;29101473475
2022.05.18;172.854752;175.441772;155.262131;155.327576;155.327576;154490275;2090.459961;2102.326660;1916.656128;1916.656128;1916.656128;17740965589;30424.478516;30618.716797;28720.271484;28720.271484;28720.271484;31285268319
2022.05.19;155.317841;169.359375;151.351456;165.819427;165.819427;152392514;1916.149536;2028.388184;1907.020508;2018.336182;2018.336182;18734247914;28720.359375;30430.751953;28708.955078;30314.333984;30314.333984;33773447707
2022.05.20;165.805740;180.951340;163.570419;174.222534;174.222534;234021413;2018.000122;2054.795898;1926.676758;1961.315674;1961.315674;15892482289;30311.119141;30664.976563;28793.605469;29200.740234;29200.740234;30749382605
2022.05.21;174.130020;180.607162;170.597824;175.993652;175.993652;146462498;1961.017944;1985.395996;1944.265137;1974.518311;1974.518311;8546822406;29199.859375;29588.869141;29027.394531;29432.226563;29432.226563;17274840442
2022.05.22;175.951706;187.821152;172.680420;187.160492;187.160492;128816310;1974.670654;2047.191406;1966.038818;2043.170166;2043.170166;10941123403;29432.472656;30425.861328;29275.183594;30323.722656;30323.722656;21631532270
2022.05.23;187.132324;199.355606;182.296783;185.182312;185.182312;269858942;2042.344727;2080.333496;1964.386597;1972.181885;1972.181885;16434529708;30309.396484;30590.585938;28975.560547;29098.910156;29098.910156;31483454557
